Table B1 
CSP-I Host Galaxy Photometry


$\mathrm{SN}\ \mathrm{Name}$	$\mathrm{Host}\ \mathrm{Galaxy}\ \mathrm{Name}$	Morphology	u	g	r	i	Y	J	H	
2007ba	UGC 9798	S0	17.13(10)	14.13(07)	13.51(08)	13.06(07)	12.20(14)	11.85(15)	11.22(08)	
2007bc	UGC 6332	SB	16.09(12)	13.64(10)	12.57(32)	12.50(05)	11.50(22)	11.23(17)	10.56(12)	
2007bd	UGC 4455	SB	19.25(06)	14.41(06)	13.71(06)	13.35(07)	12.30(08)	11.80(08)	11.07(07)	
2007bm	NGC 3672	SA	13.77(04)	11.84(11)	11.15(08)	10.75(06)	10.27(09)	9.73(06)	9.09(11)	
2007ca	MCG -02-34-61	SA	18.71(24)	14.45(05)	13.96(06)	13.73(05)	12.90(16)	12.61(18)	11.84(10)	
2007cg	ESO 508-G75	SA	17.28(09)	15.39(02)	14.65(02)	14.22(02)	13.23(07)	12.73(09)	12.06(10)	
2007hj	NGC 7461	S0	16.41(11)	13.97(08)	13.11(05)	12.63(07)	11.57(02)	11.05(02)	10.52(02)	
2007hx	SDSS J020627.93-005353.0	cdots	19.29(08)	16.96(06)	16.29(06)	15.82(05)	15.04(09)	14.27(07)	13.71(09)	
2007jd	SDSS J025953.65+010936.1	cdots	18.75(13)	17.35(07)	16.77(08)	16.48(06)	15.61(16)	15.18(18)	14.20(16)	
2007jg	SDSS J032950.83+000316.0	cdots	19.47(10)	18.74(08)	17.46(06)	17.49(07)	16.97(13)	17.27(17)	16.44(20)	
2007jh	CGCG 391-014	E	17.22(08)	14.83(10)	13.85(20)	13.57(08)	12.50(13)	11.82(22)	11.29(16)	
2007le	NGC 7721	SA	13.93(18)	12.35(04)	11.72(04)	11.39(05)	11.08(02)	10.38(09)	9.52(08)	
2007N	MCG -01-33-012	SA	17.09(08)	14.03(09)	13.30(05)	12.96(07)	11.98(10)	11.42(10)	10.89(10)	
2007nq	UGC 595	S	17.09(08)	14.53(10)	13.57(09)	13.10(09)	12.25(11)	11.81(12)	11.06(16)	
2007ol	2MASX J01372378-0018422	cdots	18.96(15)	17.05(12)	16.29(12)	15.84(07)	cdots	14.62(13)	13.73(15)	
2007on	NGC 1404	E	12.94(07)	10.72(11)	10.05(09)	9.59(08)	8.45(25)	8.23(25)	7.72(26)	
2007S	UGC 5378	SA	15.43(18)	14.15(10)	13.74(08)	13.39(09)	12.51(06)	11.77(05)	11.48(08)	
2007st	NGC 692	SB	14.62(07)	12.84(08)	12.14(13)	11.84(07)	11.06(09)	10.71(11)	9.90(20)	
2007ux	2MASX J10091969+1459268	cdots	17.50(16)	15.76(05)	14.99(13)	14.59(16)	13.58(11)	13.09(15)	12.23(31)	
2008ar	IC 3284	SA	17.05(16)	15.29(08)	14.64(11)	14.25(12)	13.14(24)	12.79(21)	12.33(23)	
2008bc	KK 1524	cdots	16.18(06)	14.18(07)	13.16(11)	13.02(11)	12.43(14)	12.20(13)	11.20(15)	
2008bi	NGC 2618	SA	16.37(06)	13.31(06)	12.53(09)	12.04(08)	10.36(53)	10.90(18)	10.40(07)	
2008bq	ESO 308-G25	Sa	17.80(04)	14.19(01)	13.46(01)	13.06(01)	12.08(09)	11.61(09)	10.87(09)	
2008bt	NGC 3404	SB	15.43(09)	13.35(08)	12.46(08)	11.97(07)	10.76(09)	10.32(09)	9.67(09)	
2008bz	2MASX J12385810+1107502	cdots	19.70(22)	16.55(06)	15.79(08)	15.34(09)	14.39(10)	13.93(14)	12.98(25)	
2008C	UGC 3611	S0	16.33(14)	14.06(07)	13.31(09)	12.88(09)	11.96(12)	11.21(13)	10.58(13)	
2008cc	ESO 107-G4	E	14.89(05)	12.79(06)	12.01(09)	11.62(08)	10.57(12)	10.15(17)	9.49(17)	
2008cd	NGC 5038	S0	14.32(11)	12.78(03)	12.15(06)	11.81(05)	cdots	10.54(02)	9.83(01)	
2008cf	LEDA 766647	cdots	19.09(07)	17.24(09)	16.64(07)	16.42(06)	16.87(20)	15.78(18)	15.37(20)	
2008fl	NGC 6805	E	15.44(08)	13.26(02)	12.41(03)	11.97(04)	11.08(04)	10.59(08)	9.92(12)	
2008fp	ESO 428-G14	S0	14.04(07)	12.42(06)	11.65(08)	11.05(06)	10.36(06)	9.83(07)	9.27(06)	
2008fr	SDSS J011149.19+143826.5	cdots	20.83(14)	19.44(07)	18.77(11)	18.58(10)	18.72(15)	18.07(11)	17.76(12)	
2008fu	ESO 480-IG-021	cdots	17.83(08)	15.57(09)	14.86(12)	14.49(11)	13.57(12)	13.07(11)	12.45(09)	
2008fw	NGC 3261	SB	14.85(04)	12.66(09)	12.03(09)	11.41(10)	10.41(17)	10.03(16)	9.34(21)	
2008gg	NGC 539	SB	16.48(06)	14.34(05)	13.53(15)	13.24(12)	12.59(09)	11.91(08)	11.51(08)	
2008gl	UGC 881	E	16.78(18)	14.51(07)	13.68(12)	13.22(08)	12.35(15)	11.93(12)	11.19(24)	
2008go	2MASX J22104396-2047256	cdots	18.08(10)	15.94(05)	14.98(07)	14.41(07)	13.72(14)	12.91(40)	11.68(64)	
2008gp	MCG +00-9-74	SA	16.25(12)	14.20(09)	13.61(09)	13.26(08)	12.55(09)	12.03(11)	11.26(23)	
2008hj	MCG -02-01-014	SB	16.76(03)	15.08(10)	14.37(05)	14.14(06)	13.84(08)	13.36(18)	12.52(11)	
2008hu	ESO 561-G18	SA	17.77(07)	15.07(03)	14.06(03)	13.69(05)	13.06(06)	12.56(06)	11.49(07)	
2008hv	NGC 2765	S0	14.83(01)	13.05(02)	12.28(02)	11.88(02)	10.79(07)	10.18(24)	9.70(11)	
2008ia	ESO 125-6	S0	15.58(04)	13.17(11)	12.38(13)	12.02(13)	11.64(06)	10.86(16)	10.35(08)	
2008O	ESO 256-G11	S0	16.10(06)	13.56(04)	12.79(03)	12.36(03)	11.19(02)	10.53(05)	9.85(05)	
2008R	NGC 1200	S0	15.38(13)	13.04(28)	11.90(11)	11.41(10)	10.71(16)	10.23(20)	9.56(11)	
2009aa	ESO 570-G20	Sc	19.91(14)	15.02(07)	14.42(00)	13.67(03)	13.15(09)	12.47(16)	12.04(17)	
2009ab	UGC 2998	SB	16.90(16)	12.76(11)	12.22(13)	11.89(12)	11.25(18)	10.75(30)	10.01(44)	
2009ad	UGC 3236	SA	16.97(10)	14.68(09)	13.98(11)	13.43(14)	12.69(08)	12.25(15)	11.61(10)	
2009ag	ESO 492-2	SA	16.75(04)	12.02(11)	11.62(11)	11.37(12)	11.01(08)	10.52(08)	9.90(10)	
2009al	NGC 3388	S0	16.14(03)	14.07(06)	13.35(07)	12.82(05)	11.81(07)	11.31(06)	10.64(09)	
2009cz	NGC 2789	S0	15.01(16)	13.22(07)	12.61(07)	12.19(08)	11.56(17)	11.05(13)	10.36(15)	
2009D	ESO 549-G031	SA	18.93(53)	14.31(14)	13.66(13)	13.32(12)	12.51(09)	12.01(11)	11.40(09)	
2009ds	NGC 3905	SB	14.57(08)	13.37(10)	12.22(08)	11.15(12)	11.76(13)	10.99(13)	10.45(12)	
2009F	NGC 1725	cdots	15.57(12)	13.23(08)	12.37(07)	11.67(11)	9.90(20)	9.96(25)	9.37(22)	
2009I	NGC 1080	SA	15.26(07)	13.75(08)	12.93(06)	12.23(07)	12.09(08)	11.62(06)	11.10(08)	
2009le	ESO 478-6	SA	13.99(08)	12.63(24)	12.08(06)	11.88(08)	10.96(22)	10.59(11)	9.99(10)	
2009P	PGC 34730	SB	16.10(21)	15.08(09)	14.68(07)	14.43(10)	13.71(16)	13.48(14)	12.73(14)	
2009Y	NGC 5728	SB	14.21(05)	11.85(10)	11.21(10)	10.84(09)	cdots	9.18(02)	8.48(02)	
